Organization,Dyn,Func,Dec,,DynFunc,FuncDec,DynDec,Relatedness
aflag,0,1,0,,0,0,0,0
aflaxman,0,14,3,,0,1,0,1
aforsyth,0,1,0,,0,0,0,0
afourmy,38,96,46,,1,1,1,1
afrantzis,0,18,0,,0,0,0,0
afrase,26,12,41,,1,1,1,1
AfricasTalkingLtd,0,18,2,,0,1,0,1
afrieder,0,5,5,,0,1,0,1
afrittoli,4,4,3,,1,1,1,1
afroisalreadyinu,5,22,1,,1,1,1,1
after12am,0,27,4,,0,1,0,1
agalitsyn,0,9,1,,0,1,0,1
AgalmicVentures,0,1,0,,0,0,0,0
agapow,0,13,0,,0,0,0,0
agarciamontoro,2,9,9,,1,1,1,1
agarsev,0,52,0,,0,0,0,0
agarwalt,0,8,0,,0,0,0,0
agateau,8,63,9,,1,1,1,1
agawronski,0,9,0,,0,0,0,0
agconti,0,3,0,,0,0,0,0
agdsn,51,226,350,,1,1,1,1
ageitgey,0,22,1,,0,1,0,1
agentOfChaos,0,2,1,,0,1,0,1
agentsoz,0,1,0,,0,0,0,0
agermanidis,1,9,2,,1,1,1,1
ageron,20,74,8,,1,1,1,1
aggelgian,0,52,0,,0,0,0,0
agh-glk,0,25,6,,0,1,0,1
agile-geoscience,63,159,46,,1,1,1,1
agile4you,13,19,27,,1,1,1,1
agileblaze,268,310,255,,1,1,1,1
agiliq,178,50,64,,1,1,1,1
agirardeaudale,0,11,2,,0,1,0,1
agisoft-llc,0,7,1,,0,1,0,1
AgnezIO,2,4,7,,1,1,1,1
Agnishom,0,8,0,,0,0,0,0
agoldst,0,2,0,,0,0,0,0
agonzalezro,0,1,1,,0,1,0,1
agoragames,81,59,61,,1,1,1,1
agoravoting,53,66,39,,1,1,1,1
agostontorok,0,16,0,,0,0,0,0
agra-uni-bremen,3,22,1,,1,1,1,1
agramian,4,2,4,,1,1,1,1
agraubert,0,78,34,,0,1,0,1
agrc,0,3,0,,0,0,0,0
agronholm,0,6,6,,0,1,0,1
agschwender,0,4,22,,0,1,0,1
aguai,0,5,0,,0,0,0,0
aguinane,0,2,0,,0,0,0,0
agurfinkel,0,1,0,,0,0,0,0
agusmakmun,1,13,5,,1,1,1,1
agustingianni,0,2,0,,0,0,0,0
agx,2,38,128,,1,1,1,1
agyorev,0,2,2,,0,1,0,1
ahaberlie,0,23,0,,0,0,0,0
ahad-s,0,3,0,,0,0,0,0
ahaldane,2,31,0,,1,0,0,1
AHAPX,8,53,45,,1,1,1,1
ahara,0,3,0,,0,0,0,0
ahartoto,0,1,72,,0,1,0,1
ahawker,18,3,20,,1,1,1,1
ahcub,0,14,2,,0,1,0,1
ahdinosaur,0,1,0,,0,0,0,0
aheadley,4,8,20,,1,1,1,1
aheck,1,16,2,,1,1,1,1
ahegel,0,3,0,,0,0,0,0
aherlihy,0,28,21,,0,1,0,1
ahes,0,1,0,,0,0,0,0
aheui,0,4,6,,0,1,0,1
ahhh,0,3,0,,0,0,0,0
ahirner,0,7,0,,0,0,0,0
ahitrin,2,69,6,,1,1,1,1
ahjolinna,0,1,4,,0,1,0,1
ahkab,4,47,2,,1,1,1,1
ahmad-taie,4,21,0,,1,0,0,1
ahmadfaizalbh,0,7,0,,0,0,0,0
ahmadnourallah,7,7,0,,1,0,0,1
ahmadRagheb,0,3,0,,0,0,0,0
Ahmed-Nematallah,4,2,0,,1,0,0,1
ahmedaliadeel,8,14,0,,1,0,0,1
ahmedalkabir,0,1,1,,0,1,0,1
AhmedArslan,0,1,0,,0,0,0,0
ahmedbodi,0,15,2,,0,1,0,1
AhmedHani,0,75,12,,0,1,0,1
ahmedmazariML,0,2,0,,0,0,0,0
ahmetkotan,0,2,0,,0,0,0,0
ahmia,1,8,2,,1,1,1,1
ahmontero,0,1,8,,0,1,0,1
ahoarfrost,0,1,0,,0,0,0,0
aholkner,3,11,55,,1,1,1,1
ahollocou,0,3,0,,0,0,0,0
aholyoke,0,4,0,,0,0,0,0
ahotovec,0,2,0,,0,0,0,0
ahtn,8,25,12,,1,1,1,1
ahuang11,0,18,0,,0,0,0,0
ahuei123456,4,3,0,,1,0,0,1
ahus1,0,1,0,,0,0,0,0
ahwillia,8,39,1,,1,1,1,1
ahwmrklas,0,23,0,,0,0,0,0
ai-guild,0,11,0,,0,0,0,0
ai-se,23,552,31,,1,1,1,1
aiakos,37,15,74,,1,1,1,1
aicenter,0,17,4,,0,1,0,1
aichaos,2,3,3,,1,1,1,1
AidaDSP,0,4,0,,0,0,0,0
aidiary,0,20,0,,0,0,0,0
Aifryz,0,3,0,,0,0,0,0
aigamedev,12,9,1,,1,1,1,1
aiguofer,1,6,2,,1,1,1,1
aijunbai,1,13,19,,1,1,1,1
aikaterna,10,13,2,,1,1,1,1
aikikode,1,26,4,,1,1,1,1
ailling,0,2,1,,0,1,0,1
aimacode,2,107,0,,1,0,0,1
ainich,0,2,0,,0,0,0,0
ainsophical,0,1,0,,0,0,0,0
aio-libs,98,1737,482,,1,1,1,1
aioworkers,30,48,59,,1,1,1,1
Aioxas,0,6,0,,0,0,0,0
aipescience,10,123,21,,1,1,1,1
AIR-EISTI,0,2,1,,0,1,0,1
airbnb,83,505,594,,1,1,1,1
airekans,0,1,0,,0,0,0,0
