Organization,Dyn,Func,Dec,,DynFunc,FuncDec,DynDec,Relatedness
jinghaomiao,4,36,29,,1,1,1,1
jingnanshi,0,1,0,,0,0,0,0
jingtianming1,0,2,0,,0,0,0,0
jingweiz,4,4,7,,1,1,1,1
jingzhou123,0,11,0,,0,0,0,0
jinhwanlazy,1,1,0,,1,0,0,1
jinified,0,32,1,,0,1,0,1
JinnLynn,0,30,24,,0,1,0,1
jinro221,2,6,0,,1,0,0,1
Jintin,1,2,0,,1,0,0,1
jinty,7,15,44,,1,1,1,1
jiny2001,3,1,0,,1,0,0,1
jinyu121,2,1,6,,1,1,1,1
jinzishuai,0,7,0,,0,0,0,0
jirutka,0,3,5,,0,1,0,1
jisaacks,8,58,24,,1,1,1,1
jisungk,0,11,0,,0,0,0,0
jitsi,0,2,0,,0,0,0,0
Jitsusama,0,12,14,,0,1,0,1
jiyeqian,0,2,2,,0,1,0,1
jiyfeng,0,33,0,,0,0,0,0
JiYouMCC,57,4,6,,1,1,1,1
jjangsangy,2,12,18,,1,1,1,1
jjardel,0,9,3,,0,1,0,1
jjconti,0,2,2,,0,1,0,1
jjdredd,11,2,0,,1,0,0,1
jjeffcaii,0,21,0,,0,0,0,0
jjengo,0,1,50,,0,1,0,1
jjerphan,1,7,0,,1,0,0,1
jjf012,0,4,3,,0,1,0,1
jjfeore,0,1,0,,0,0,0,0
JJGO,0,1,0,,0,0,0,0
jjgoings,0,10,1,,0,1,0,1
jjgomera,13,33,26,,1,1,1,1
jjguy,0,9,0,,0,0,0,0
jjhelmus,4,52,22,,1,1,1,1
jjjake,1,93,3,,1,1,1,1
jjkester,10,5,7,,1,1,1,1
jjlee,0,8,0,,0,0,0,0
JJMC89,0,11,4,,0,1,0,1
jjmontesl,13,87,12,,1,1,1,1
jjneely,0,6,0,,0,0,0,0
jjongbloets,0,4,69,,0,1,0,1
jjrennie,0,1,0,,0,0,0,0
JJSrra,0,16,0,,0,0,0,0
jjyr,6,11,7,,1,1,1,1
JK-River,2,6,18,,1,1,1,1
jkachika,0,2,0,,0,0,0,0
jkafader,3,32,2,,1,1,1,1
jkahn,0,16,5,,0,1,0,1
jkakavas,0,19,2,,0,1,0,1
jkarres,0,20,17,,0,1,0,1
jkatsioloudes,0,5,6,,0,1,0,1
jkawamoto,0,120,6,,0,1,0,1
jkbrzt,20,61,58,,1,1,1,1
jkeen,0,3,0,,0,0,0,0
jkehler,0,1,0,,0,0,0,0
jkibele,1,9,6,,1,1,1,1
jkilpatr,0,5,0,,0,0,0,0
jkingsman,0,1,0,,0,0,0,0
jkinred,4,1,0,,1,0,0,1
jkitchin,8,52,103,,1,1,1,1
jkitzes,2,4,0,,1,0,0,1
jkkummerfeld,0,5,0,,0,0,0,0
jkoelker,1,11,6,,1,1,1,1
jkolczasty,3,1,6,,1,1,1,1
jkordish,0,3,0,,0,0,0,0
jkossen,3,13,17,,1,1,1,1
jkriege2,0,1,0,,0,0,0,0
JKUATSCOSIT,0,2,0,,0,0,0,0
jkunimune15,0,8,0,,0,0,0,0
jkur,0,21,1,,0,1,0,1
jkwill87,3,26,5,,1,1,1,1
jlachowski,46,83,0,,1,0,0,1
jlafon,9,22,20,,1,1,1,1
jlaine,7,5,5,,1,1,1,1
jlane9,3,7,10,,1,1,1,1
jlangston,0,2,0,,0,0,0,0
jlaska,18,60,19,,1,1,1,1
jldbc,0,43,0,,0,0,0,0
jle64,0,3,0,,0,0,0,0
jlebon,5,8,0,,1,0,0,1
jleclanche,108,128,52,,1,1,1,1
jleinonen,0,13,0,,0,0,0,0
jlengrand,1,1,0,,1,0,0,1
jleugeri,0,2,0,,0,0,0,0
jlevy,2,49,2,,1,1,1,1
jlevy44,0,9,0,,0,0,0,0
jlguardi,2,12,31,,1,1,1,1
jli05,0,28,0,,0,0,0,0
jlinn,1,24,153,,1,1,1,1
jlizier,0,2,0,,0,0,0,0
jlmadurga,15,18,59,,1,1,1,1
jlmucb,0,1,0,,0,0,0,0
jlnaudin,5,5,0,,1,0,0,1
jlopezbi,0,2,7,,0,1,0,1
jlopp,0,25,0,,0,0,0,0
jlrandulfe,0,1,1,,0,1,0,1
jlsutherland,0,1,0,,0,0,0,0
jlubcke,0,1,0,,0,0,0,0
jlublin,0,23,0,,0,0,0,0
JLuebben,0,21,10,,0,1,0,1
jly8866,17,8,2,,1,1,1,1
jm-begon,1,35,28,,1,1,1,1
jm33-m0,1,3,0,,1,0,0,1
jm974,0,4,0,,0,0,0,0
jma127,0,65,2,,0,1,0,1
jmackie4,14,41,34,,1,1,1,1
jmagnusson,13,29,35,,1,1,1,1
jmankoff,26,65,8,,1,1,1,1
jmarini,0,16,16,,0,1,0,1
jmarkowski,0,3,0,,0,0,0,0
jmathai,60,4,2,,1,1,1,1
JMathiszig-Lee,0,5,4,,0,1,0,1
jmausolf,0,12,0,,0,0,0,0
jmbr,4,2,1,,1,1,1,1
jmcarp,61,86,122,,1,1,1,1
jmcclell,0,2,0,,0,0,0,0
jmccormac,0,19,0,,0,0,0,0
jmccrae,0,55,2,,0,1,0,1
jmcgeheeiv,14,11,15,,1,1,1,1
jmcnamara,0,3,0,,0,0,0,0
jmcs,2,4,2,,1,1,1,1
jmd-dk,0,15,0,,0,0,0,0
jmdana,2,2,4,,1,1,1,1
jmdejong,4,38,9,,1,1,1,1
jmdevince,8,5,55,,1,1,1,1
jmelett,4,10,1,,1,1,1,1
jmenga,0,1,0,,0,0,0,0
jmespadero,0,7,0,,0,0,0,0
jmeyers314,1,9,5,,1,1,1,1
jmflinuxtx,0,7,1,,0,1,0,1
jmgilman,11,1,8,,1,1,1,1
jmhessel,0,1,0,,0,0,0,0
jmhummel,0,1,0,,0,0,0,0
jmikko,2,51,0,,1,0,0,1
jmiller656,0,3,0,,0,0,0,0
jminardi,1,8,1,,1,1,1,1
jminor,0,19,0,,0,0,0,0
jminuscula,1,7,7,,1,1,1,1
jmitchel3,16,1,2,,1,1,1,1
jml,0,4,0,,0,0,0,0
jmohr,0,5,1,,0,1,0,1
jmoiron,23,6,11,,1,1,1,1
jmorg,0,2,0,,0,0,0,0
jmoudrik,0,9,1,,0,1,0,1
jmourelos,1,7,2,,1,1,1,1
jmozmoz,0,10,0,,0,0,0,0
jmplonka,1,10,0,,1,0,0,1
JmPotato,1,7,0,,1,0,0,1
jmread,2,4,1,,1,1,1,1
jmschrei,18,40,13,,1,1,1,1
JMSkelton,0,54,0,,0,0,0,0
jmurty,0,7,30,,0,1,0,1
jmvrbanac,7,22,27,,1,1,1,1
jmwoll,0,2,0,,0,0,0,0
jmwright,27,112,97,,1,1,1,1
jnamika,0,60,0,,0,0,0,0
jnarhan,0,2,0,,0,0,0,0
jncraton,0,2,0,,0,0,0,0
jneem,0,5,0,,0,0,0,0
jneen,0,39,21,,0,1,0,1
jneight,11,6,13,,1,1,1,1
jneuendorf,4,6,3,,1,1,1,1
jnez71,1,31,0,,1,0,0,1
jni,4,34,1,,1,1,1,1
jniediek,2,38,0,,1,0,0,1
jniemann66,0,2,0,,0,0,0,0
jnikula,1,7,0,,1,0,0,1
jnktsj,0,19,0,,0,0,0,0
jnoortheen,11,15,7,,1,1,1,1
jnrbsn,1,4,1,,1,1,1,1
JNRowe,1,14,0,,1,0,0,1
jnsebgosselin,3,28,16,,1,1,1,1
jnthntatum,0,4,3,,0,1,0,1
jnv,1,12,0,,1,0,0,1
JnyJny,20,65,184,,1,1,1,1
jo-fu,5,6,4,,1,1,1,1
joaander,19,116,21,,1,1,1,1
joac,0,1,0,,0,0,0,0
Joacchim,1,8,0,,1,0,0,1
JoachimVandersmissen,0,2,0,,0,0,0,0
joakimfors,0,1,0,,0,0,0,0
JoakimSoderberg,0,1,0,,0,0,0,0
joand,0,1,0,,0,0,0,0
joansalasoler,38,59,39,,1,1,1,1
joanvila,7,9,7,,1,1,1,1
joaobarbosa,0,1,12,,0,1,0,1
JoaoFelipe,4,13,1,,1,1,1,1
joaolrpaulo,0,16,43,,0,1,0,1
joaopalotti,0,5,0,,0,0,0,0
joaoqalves,0,2,1,,0,1,0,1
JoaoRodrigues,1,6,0,,1,0,0,1
joaoTrevizoli,0,4,3,,0,1,0,1
joaovitorsilvestre,5,28,11,,1,1,1,1
joausaga,6,3,2,,1,1,1,1
job,0,4,0,,0,0,0,0
jobar8,0,3,0,,0,0,0,0
jobcli,0,1,0,,0,0,0,0
jobec,13,9,0,,1,0,0,1
jobevers,2,3,0,,1,0,0,1
joblib,72,45,25,,1,1,1,1
jobovy,16,202,32,,1,1,1,1
jocelynmass,32,7,3,,1,1,1,1
jochasinga,0,3,6,,0,1,0,1
jochym,0,3,0,,0,0,0,0
jocicmarko,0,2,0,,0,0,0,0
JockeTF,19,50,31,,1,1,1,1
jodaiber,0,14,0,,0,0,0,0
jodal,18,76,34,,1,1,1,1
joe-antognini,0,6,36,,0,1,0,1
joealcorn,10,19,12,,1,1,1,1
joeatwork,0,2,0,,0,0,0,0
joeddav,0,7,0,,0,0,0,0
joedicastro,5,47,0,,1,0,0,1
joeedh,1,4,0,,1,0,0,1
joeferraro,12,13,22,,1,1,1,1
JoeLametta,8,19,2,,1,1,1,1
JoelBender,106,38,425,,1,1,1,1
joelbm24,0,1,0,,0,0,0,0
joelcarranza,3,21,0,,1,0,0,1
joelgoop,3,5,4,,1,1,1,1
joelgrus,4,446,0,,1,0,0,1
joelmoniz,3,15,0,,1,0,0,1
joelnish,0,1,0,,0,0,0,0
joelowj,0,30,0,,0,0,0,0
joelrieger,0,14,0,,0,0,0,0
joeltg,0,1,0,,0,0,0,0
joelwanner,0,49,5,,0,1,0,1
joequant,8,23,5,,1,1,1,1
joequery,0,1,0,,0,0,0,0
joereynolds,2,10,1,,1,1,1,1
joerg-lehmann,2,4,0,,1,0,0,1
joeribekker,14,2,2,,1,1,1,1
joerick,10,6,35,,1,1,1,1
joernhees,5,20,0,,1,0,0,1
joesecurity,0,1,0,,0,0,0,0
joestump,18,11,9,,1,1,1,1
joewalnes,31,163,0,,1,0,0,1
joeydong,0,3,0,,0,0,0,0
joeyespo,1,15,5,,1,1,1,1
joeymeyer,1,11,1,,1,1,1,1
joferkington,19,72,20,,1,1,1,1
JoFrhwld,0,12,0,,0,0,0,0
JogleLew,0,4,10,,0,1,0,1
joh12041,0,5,0,,0,0,0,0
johan-sports,7,9,3,,1,1,1,1
johanasplund,0,2,8,,0,1,0,1
johanek,1,2,0,,1,0,0,1
johanfforsberg,0,26,0,,0,0,0,0
johannes-gehrs,0,5,0,,0,0,0,0
JohannesBuchner,5,166,1,,1,1,1,1
JohannesEbke,0,6,0,,0,0,0,0
johannesmik,0,4,2,,0,1,0,1
johannesreiter,0,24,1,,0,1,0,1
johannesu,0,7,0,,0,0,0,0
johanneswilm,0,7,0,,0,0,0,0
johannfaouzi,4,83,4,,1,1,1,1
johansten,0,3,1,,0,1,0,1
john-charles,0,3,5,,0,1,0,1
John-Gee,3,6,0,,1,0,0,1
John-Jumper,0,5,0,,0,0,0,0
John-Lin,0,2,10,,0,1,0,1
john-tornblom,2,3,30,,1,1,1,1
JohnAbel,0,8,4,,0,1,0,1
johnarevalo,0,6,0,,0,0,0,0
johnb30,0,9,0,,0,0,0,0
johnbywater,84,44,145,,1,1,1,1
johncsnyder,17,77,2,,1,1,1,1
JohnDMcMaster,1,3,20,,1,1,1,1
johndoe31415,4,9,86,,1,1,1,1
JohnDoee,1,7,6,,1,1,1,1
johndoherty,0,30,10,,0,1,0,1
johndpope,8,41,33,,1,1,1,1
JohnGiorgi,0,5,0,,0,0,0,0
johnglover,0,40,7,,0,1,0,1
JohnGriffiths,0,1,0,,0,0,0,0
johnh2o2,2,39,0,,1,0,0,1
johnjohnlin,2,122,17,,1,1,1,1
johnkabler,0,1,0,,0,0,0,0
JohnKendrick,1,53,0,,1,0,0,1
johnlaudun,0,1,0,,0,0,0,0
johnlees,0,4,0,,0,0,0,0
JohnMaguire,8,4,0,,1,0,0,1
johnmartinsson,0,42,6,,0,1,0,1
johnmgregoire,0,22,0,,0,0,0,0
johnmyleswhite,0,31,0,,0,0,0,0
johnnadratowski,0,15,1,,0,1,0,1
johnnoone,13,31,49,,1,1,1,1
johnnovak,1,13,1,,1,1,1,1
johnnykv,6,9,28,,1,1,1,1
johnomics,1,26,21,,1,1,1,1
johnpaulett,0,8,5,,0,1,0,1
johnrbnsn,1,3,2,,1,1,1,1
JohnReid,1,2,0,,1,0,0,1
johnsensible,6,5,3,,1,1,1,1
JohnSnowLabs,5,34,34,,1,1,1,1
Johnson-A,1,7,2,,1,1,1,1
JohnStarich,0,7,2,,0,1,0,1
johnsyweb,0,5,0,,0,0,0,0
johntellsall,1,23,3,,1,1,1,1
johntfoster,0,6,2,,0,1,0,1
JohnTroony,0,1,0,,0,0,0,0
johntruckenbrodt,1,14,3,,1,1,1,1
JohnUrban,0,30,0,,0,0,0,0
johnveitch,0,37,8,,0,1,0,1
JohnVinyard,14,352,141,,1,1,1,1
johnwheeler,2,3,20,,1,1,1,1
johnwlockwood,0,32,0,,0,0,0,0
johnwyles,1,1,1,,1,1,1,1
johnyf,0,2,0,,0,0,0,0
johnynek,0,1,0,,0,0,0,0
JoinMarket-Org,2,106,47,,1,1,1,1
joinourtalents,1,1,1,,1,1,1,1
jojoin,1,8,0,,1,0,0,1
jojonas,0,3,5,,0,1,0,1
JoKaWare,17,17,2,,1,1,1,1
joke2k,43,124,25,,1,1,1,1
jokereactive,0,1,0,,0,0,0,0
Jokiva,0,29,2,,0,1,0,1
jokull,1,1,16,,1,1,1,1
jolivain,3,25,5,,1,1,1,1
joliveros,0,1,1,,0,1,0,1
jollex,0,3,0,,0,0,0,0
jolynch,1,78,2,,1,1,1,1
jomido,0,12,0,,0,0,0,0
JoMingyu,0,10,8,,0,1,0,1
jomoore,0,6,7,,0,1,0,1
jon-courtney,0,2,4,,0,1,0,1
jon-jacky,12,69,0,,1,0,0,1
jon85p,3,5,0,,1,0,0,1
jonandergomez,0,11,0,,0,0,0,0
jonashaag,20,15,13,,1,1,1,1
jonashagstedt,85,20,14,,1,1,1,1
JonasHarnau,2,8,0,,1,0,0,1
JonasHeylen,0,1,0,,0,0,0,0
jonasjj,1,20,3,,1,1,1,1
jonasjuffinger,1,1,0,,1,0,0,1
jonasrauber,3,40,46,,1,1,1,1
jonasrothfuss,0,41,1,,0,1,0,1
jonasschnelli,0,2,0,,0,0,0,0
JonasWallin,12,156,27,,1,1,1,1
jonathandelgado,0,11,0,,0,0,0,0
jonathandunn,7,49,2,,1,1,1,1
jonathanhogg,0,1,2,,0,1,0,1
jonathanmasci,0,4,0,,0,0,0,0
JonathanPierce,0,1,0,,0,0,0,0
JonathanRaiman,0,9,1,,0,1,0,1
JonathanReeve,0,8,0,,0,0,0,0
JonathanSalwan,3,10,2,,1,1,1,1
JonathanSchmalhofer,0,3,0,,0,0,0,0
jonathansick,0,2,0,,0,0,0,0
jonathanslenders,36,349,214,,1,1,1,1
jonathanstrong,0,7,0,,0,0,0,0
JonathanTaquet,2,26,0,,1,0,0,1
JonathanThorpe,0,2,0,,0,0,0,0
jonathanverner,18,20,39,,1,1,1,1
jonathf,20,176,2,,1,1,1,1
JonathonReinhart,1,9,6,,1,1,1,1
jonatron,5,4,9,,1,1,1,1
jonbakerfish,0,6,0,,0,0,0,0
jonblack,0,2,0,,0,0,0,0
jonbretman,2,4,0,,1,0,0,1
jonbruner,0,6,0,,0,0,0,0
jonesinator,2,60,4,,1,1,1,1
jongho,0,1,0,,0,0,0,0
jongoodnow,2,22,1,,1,1,1,1
jongyookim,2,19,10,,1,1,1,1
jonhadfield,0,6,2,,0,1,0,1
joni2back,2,4,0,,1,0,0,1
jonian,25,16,24,,1,1,1,1
jonlabelle,0,43,4,,0,1,0,1
jonls,1,6,4,,1,1,1,1
jonmetz,0,3,0,,0,0,0,0
jonnydyer,2,7,16,,1,1,1,1
JonnyWong16,45,86,75,,1,1,1,1
jonparrott,20,18,15,,1,1,1,1
jonroberts,0,3,3,,0,1,0,1
jonromero,0,1,0,,0,0,0,0
jonsafari,0,4,0,,0,0,0,0
JonSeijo,0,1,0,,0,0,0,0
JonShepChen,0,1,0,,0,0,0,0
JonSnowWhite,0,7,8,,0,1,0,1
JonSteinn,0,32,0,,0,0,0,0
jonstewart,0,6,0,,0,0,0,0
Jonwing,2,2,9,,1,1,1,1
jonwright,43,155,0,,1,0,0,1
joodicator,1,2,0,,1,0,0,1
Jooho,0,5,0,,0,0,0,0
jookies,1,9,0,,1,0,0,1
JoonasMelin,0,3,0,,0,0,0,0
joonty,0,5,20,,0,1,0,1
joopert,0,2,0,,0,0,0,0
joostgp,0,4,0,,0,0,0,0
joosthoeks,0,4,0,,0,0,0,0
joosthub,0,10,5,,0,1,0,1
joowani,2,11,14,,1,1,1,1
jopohl,44,197,423,,1,1,1,1
jorahn,0,2,0,,0,0,0,0
joram-berger,0,8,2,,0,1,0,1
jordan-wright,0,4,0,,0,0,0,0
jordanbtucker,3,10,2,,1,1,1,1
jordanh,0,2,0,,0,0,0,0
jordanjoz1,0,3,0,,0,0,0,0
jordanl,0,3,0,,0,0,0,0
jordanpotti,0,1,0,,0,0,0,0
jordao76,0,5,0,,0,0,0,0
jordens,23,181,97,,1,1,1,1
jordibc,0,2,0,,0,0,0,0
jordic,6,2,3,,1,1,1,1
jordifierro,0,3,49,,0,1,0,1
jordij,1,2,1,,1,1,1,1
jordimarinvalle,0,1,4,,0,1,0,1
jordipons,12,20,1,,1,1,1,1
jordoncm,9,5,6,,1,1,1,1
jordwalke,0,7,0,,0,0,0,0
jorgeacf,0,6,0,,0,0,0,0
jorgealmerio,12,91,106,,1,1,1,1
jorgebastida,11,33,24,,1,1,1,1
jorgecarleitao,14,43,27,,1,1,1,1
JorgeDeLosSantos,0,17,43,,0,1,0,1
jorgemf,0,57,0,,0,0,0,0
jorgenkg,0,8,0,,0,0,0,0
jorgenschaefer,14,12,6,,1,1,1,1
jorisroovers,18,16,44,,1,1,1,1
jorisvandenbossche,0,4,0,,0,0,0,0
jorisvanzundert,0,38,0,,0,0,0,0
JorjMcKie,0,1,0,,0,0,0,0
Jorl17,0,6,1,,0,1,0,1
jortel,33,31,209,,1,1,1,1
jorticus,6,13,5,,1,1,1,1
jorvis,2,6,0,,1,0,0,1
josauder,9,59,0,,1,0,0,1
joschabach,4,52,82,,1,1,1,1
joschu,0,18,5,,0,1,0,1
joseamaya,0,3,13,,0,1,0,1
JoseBlanca,20,190,117,,1,1,1,1
JoseExposito,0,8,0,,0,0,0,0
josefdolezal,5,8,7,,1,1,1,1
josefmonje,3,1,0,,1,0,0,1
josefschneider,10,51,1,,1,1,1,1
josefson,0,3,5,,0,1,0,1
JoseLlarena,0,15,0,,0,0,0,0
josemiotto,0,4,0,,0,0,0,0
JosePedroMatos,2,2,1,,1,1,1,1
josephcslater,0,1,0,,0,0,0,0
josephhardinee,1,16,2,,1,1,1,1
josephok,2,1,10,,1,1,1,1
josephpd3,0,2,0,,0,0,0,0
JoseTomasTocino,0,8,1,,0,1,0,1
josh-berry,0,8,22,,0,1,0,1
josh146,0,1,1,,0,1,0,1
joshamilton,1,4,0,,1,0,0,1
joshbrooks,2,2,0,,1,0,0,1
joshbuddy,1,3,15,,1,1,1,1
joshburnett,1,8,0,,1,0,0,1
JoshData,0,2,0,,0,0,0,0
joshfriend,0,6,0,,0,0,0,0
JoshGlue,0,5,0,,0,0,0,0
joshloyal,0,11,0,,0,0,0,0
joshmarshall,4,44,27,,1,1,1,1
joshmorel,0,1,2,,0,1,0,1
joshourisman,16,5,0,,1,0,0,1
joshspeagle,1,4,24,,1,1,1,1
joshua-jin,0,3,0,,0,0,0,0
joshua-stone,7,9,20,,1,1,1,1
Joshuaalbert,4,51,31,,1,1,1,1
JoshuaDavid,0,5,0,,0,0,0,0
joshuaduffy,0,6,0,,0,0,0,0
joshuamsmith,9,5,0,,1,0,0,1
joshuar,0,1,1,,0,1,0,1
JoshuaRBogart,0,9,2,,0,1,0,1
JoshuaRLi,0,1,0,,0,0,0,0
JoshuaSenouf,1,1,0,,1,0,0,1
JoshuaSkelly,17,97,41,,1,1,1,1
joshwalawender,1,5,0,,1,0,0,1
joshwatson,0,1,0,,0,0,0,0
josiah-wolf-oberholtzer,52,244,1202,,1,1,1,1
josiahcarlson,3,25,4,,1,1,1,1
JosPolfliet,1,4,0,,1,0,0,1
jostmey,0,4,6,,0,1,0,1
JosuaKrause,0,3,0,,0,0,0,0
josuebrunel,0,25,0,,0,0,0,0
josuemontano,3,2,6,,1,1,1,1
joswr1ght,4,8,0,,1,0,0,1
JosXa,7,42,78,,1,1,1,1
jotterbach,0,43,16,,0,1,0,1
jotyGill,0,1,0,,0,0,0,0
joubin,0,2,4,,0,1,0,1
jowinter,0,5,0,,0,0,0,0
joxeankoret,26,65,20,,1,1,1,1
joy13975,4,42,0,,1,0,0,1
joyent,4,18,8,,1,1,1,1
joymax,20,29,70,,1,1,1,1
JoyTeam,32,64,54,,1,1,1,1
joytunes,0,6,3,,0,1,0,1
jpacg,2,25,0,,1,0,0,1
jpadilla,7,22,2,,1,1,1,1
jpalladino84,12,39,29,,1,1,1,1
jpalpant,0,1,0,,0,0,0,0
jparicka,1,2,1,,1,1,1,1
jparise,8,3,0,,1,0,0,1
jparyani,9,48,4,,1,1,1,1
jpaugh,7,4,0,,1,0,0,1
jpbarraca,0,1,0,,0,0,0,0
jpbarrette,1,16,0,,1,0,0,1
jpdias,0,1,0,,0,0,0,0
jpdz,2,2,0,,1,0,0,1
jpeterbaker,0,3,0,,0,0,0,0
jpf,0,9,6,,0,1,0,1
jpfferreira,0,14,7,,0,1,0,1
jpfleury,2,10,0,,1,0,0,1
JPGlaser,0,8,5,,0,1,0,1
jpgxs,1,7,0,,1,0,0,1
jph00,0,1,0,,0,0,0,0
jphall663,3,14,1,,1,1,1,1
jPhy,4,8,0,,1,0,0,1
jpiper,0,14,3,,0,1,0,1
jpirko,23,52,6,,1,1,1,1
jplana,4,13,25,,1,1,1,1
jplesperance,0,1,1,,0,1,0,1
jplusplus,9,77,11,,1,1,1,1
jpmml,65,37,1,,1,1,1,1
jpn--,27,65,38,,1,1,1,1
jpnos26,1,1,0,,1,0,0,1
jpoppe,5,16,0,,1,0,0,1
jprante,0,1,0,,0,0,0,0
jpritt,0,10,0,,0,0,0,0
jpscaletti,47,36,14,,1,1,1,1
jpschultz,0,3,0,,0,0,0,0
jptomo,0,1,1,,0,1,0,1
jpuigcerver,0,4,11,,0,1,0,1
jpurma,84,77,117,,1,1,1,1
jpush,2,4,3,,1,1,1,1
jpvanhal,7,27,41,,1,1,1,1
jpwright,0,3,0,,0,0,0,0
jpypi,0,4,4,,0,1,0,1
jqb,12,7,3,,1,1,1,1
jquast,10,40,33,,1,1,1,1
jqueiroz,0,7,0,,0,0,0,0
jqug,0,6,0,,0,0,0,0
jr-garcia,19,34,68,,1,1,1,1
jr-minnaar,1,1,0,,1,0,0,1
jrabbit,0,16,17,,0,1,0,1
jradavenport,0,1,0,,0,0,0,0
jradtilbrook,0,3,0,,0,0,0,0
jraedler,0,16,0,,0,0,0,0
jrahm,0,3,0,,0,0,0,0
jraleman,0,3,0,,0,0,0,0
jralls,0,1,0,,0,0,0,0
jramapuram,0,1,12,,0,1,0,1
jrb28,0,1,0,,0,0,0,0
jrbourbeau,5,10,1,,1,1,1,1
jrderuiter,0,15,28,,0,1,0,1
jreback,313,773,167,,1,1,1,1
jreeder,1,6,1,,1,1,1,1
jreese,5,35,48,,1,1,1,1
jreinhardt,3,74,1,,1,1,1,1
jrfiedler,0,68,1,,0,1,0,1
jrg365,90,134,76,,1,1,1,1
JrGoodle,2,30,54,,1,1,1,1
jrherr,0,2,0,,0,0,0,0
jrial,0,4,0,,0,0,0,0
jrialland,0,24,5,,0,1,0,1
jribbens,12,3,0,,1,0,0,1
jrief,113,104,192,,1,1,1,1
jriguera,4,12,10,,1,1,1,1
jrjhealey,0,12,0,,0,0,0,0
jrkerns,26,13,68,,1,1,1,1
jrl-umi3218,0,35,0,,0,0,0,0
jrleeman,1,1,0,,1,0,0,1
jrmdev,0,1,0,,0,0,0,0
jrmontag,2,22,1,,1,1,1,1
jroakes,0,2,1,,0,1,0,1
jromang,10,3,4,,1,1,1,1
jrosdahl,5,1,7,,1,1,1,1
jrosebr1,0,6,5,,0,1,0,1
jrossyra,14,18,11,,1,1,1,1
jrowberg,0,7,0,,0,0,0,0
jroxendal,5,8,0,,1,0,0,1
Jrribas,2,13,0,,1,0,0,1
jrsmith3,0,4,0,,0,0,0,0
jrspruitt,44,22,0,,1,0,0,1
jruaux,18,21,103,,1,1,1,1
jruere,0,2,0,,0,0,0,0
jruiperezv,217,395,379,,1,1,1,1
jruizgit,0,1,0,,0,0,0,0
Jrws,2,15,28,,1,1,1,1
jrxFive,6,7,22,,1,1,1,1
jrydberg,1,5,0,,1,0,0,1
js850,1,2,0,,1,0,0,1
jsalsman,0,1,0,,0,0,0,0
jsandovalc,0,4,0,,0,0,0,0
jsaponara,5,32,5,,1,1,1,1
jsatt,6,2,4,,1,1,1,1
jsayol,0,1,0,,0,0,0,0
jsbueno,2,5,0,,1,0,0,1
jschaf,4,3,3,,1,1,1,1
jschaul,2,26,0,,1,0,0,1
jschiarizzi,0,3,0,,0,0,0,0
jschnurr,0,2,0,,0,0,0,0
jscholes,3,7,0,,1,0,0,1
jschools,1,2,0,,1,0,0,1
jschrewe,38,18,10,,1,1,1,1
jselsing,0,1,0,,0,0,0,0
jseppanen,0,1,0,,0,0,0,0
jserv,11,2,0,,1,0,0,1
jserver,1,1,0,,1,0,0,1
jseutter,4,2,0,,1,0,0,1
jsexauer,3,4,4,,1,1,1,1
jsfalk,0,9,0,,0,0,0,0
jsfrench,0,8,0,,0,0,0,0
jshackles,0,3,0,,0,0,0,0
jshaffstall,0,28,27,,0,1,0,1
jsharkey13,0,5,0,,0,0,0,0
jsirois,1,14,7,,1,1,1,1
jskDr,5,38,2,,1,1,1,1
jskopek,4,1,0,,1,0,0,1
jsksxs360,0,5,0,,0,0,0,0
jslang,9,9,4,,1,1,1,1
jslim18,0,3,0,,0,0,0,0
jslu0418,0,1,0,,0,0,0,0
jsmesami,10,13,30,,1,1,1,1
jsmits,0,5,0,,0,0,0,0
jso,4,4,0,,1,0,0,1
jsoa,1,9,0,,1,0,0,1
jsocol,8,5,1,,1,1,1,1
jsommers,15,15,37,,1,1,1,1
jspricke,13,7,6,,1,1,1,1
Jspsun,0,19,0,,0,0,0,0
jspsych,0,2,0,,0,0,0,0
jsroyal,0,8,0,,0,0,0,0
jstaffans,0,2,0,,0,0,0,0
jstar88,5,3,0,,1,0,0,1
jstarc,0,6,0,,0,0,0,0
jstasiak,0,6,2,,0,1,0,1
jstraub,0,10,0,,0,0,0,0
jsubpy,1,7,0,,1,0,0,1
jsvazic,0,3,2,,0,1,0,1
jsvine,26,93,60,,1,1,1,1
jswoboda,0,4,0,,0,0,0,0
jsxc,1,5,14,,1,1,1,1
jsyqrt,0,15,0,,0,0,0,0
jszakmeister,0,2,2,,0,1,0,1
jszymon,5,57,1,,1,1,1,1
JT5D,22,240,39,,1,1,1,1
jtackaberry,80,171,36,,1,1,1,1
jtambasco,0,4,0,,0,0,0,0
jtatum,0,1,0,,0,0,0,0
jtauber,10,169,27,,1,1,1,1
jtaylor,0,2,0,,0,0,0,0
jtdub,0,1,0,,0,0,0,0
jtempkin,7,1,0,,1,0,0,1
jtemporal,0,1,0,,0,0,0,0
jterrace,6,11,1,,1,1,1,1
JTFouquier,0,1,0,,0,0,0,0
jthi3rry,0,5,0,,0,0,0,0
jtimon,0,21,0,,0,0,0,0
jtleider,0,23,0,,0,0,0,0
jtpereyda,8,14,53,,1,1,1,1
