DynCount,FuncCount,DecCount,DynFunc,FuncDec,DynDec,Relatedness
0,4,0,0,0,0,0
1,9,0,1,0,0,1
0,3,2,0,1,0,1
0,1,0,0,0,0,0
4,8,0,1,0,0,1
0,1,3,0,1,0,1
0,2,0,0,0,0,0
1,1,0,1,0,0,1
1,5,6,1,1,1,1
4,49,8,1,1,1,1
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
175,261,95,1,1,1,1
5,19,4,1,1,1,1
10,21,6,1,1,1,1
0,5,0,0,0,0,0
0,3,2,0,1,0,1
0,5,0,0,0,0,0
0,1,0,0,0,0,0
0,0,2,0,0,0,0
0,44,0,0,0,0,0
7,52,5,1,1,1,1
10,1426,1,1,1,1,1
1,0,0,0,0,0,0
0,6,0,0,0,0,0
1,0,0,0,0,0,0
0,5,0,0,0,0,0
7,68,12,1,1,1,1
1,4,12,1,1,1,1
0,68,0,0,0,0,0
26,87,45,1,1,1,1
14,52,69,1,1,1,1
2,41,4,1,1,1,1
0,15,0,0,0,0,0
0,20,0,0,0,0,0
14,3,1,1,1,1,1
0,7,0,0,0,0,0
0,12,5,0,1,0,1
1,7,9,1,1,1,1
11,1,0,1,0,0,1
1,7,24,1,1,1,1
0,1,0,0,0,0,0
4,3,0,1,0,0,1
0,4,0,0,0,0,0
6,27,2,1,1,1,1
0,6,0,0,0,0,0
1,0,0,0,0,0,0
0,5,0,0,0,0,0
0,0,6,0,0,0,0
3,22,43,1,1,1,1
0,5,0,0,0,0,0
1,6,0,1,0,0,1
0,5,0,0,0,0,0
1,46,0,1,0,0,1
0,2,2,0,1,0,1
0,0,6,0,0,0,0
0,1,0,0,0,0,0
0,6,0,0,0,0,0
0,4,0,0,0,0,0
422,1715,319,1,1,1,1
0,12,0,0,0,0,0
0,18,1,0,1,0,1
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,8,0,1,0,1
3,0,0,0,0,0,0
3,44,0,1,0,0,1
50,230,225,1,1,1,1
752,1323,405,1,1,1,1
0,3,0,0,0,0,0
10,18,6,1,1,1,1
0,4,0,0,0,0,0
11,267,16,1,1,1,1
0,4,7,0,1,0,1
0,2,0,0,0,0,0
0,2,2,0,1,0,1
0,5,3,0,1,0,1
0,3,46,0,1,0,1
1,5,1,1,1,1,1
0,122,3,0,1,0,1
0,1,0,0,0,0,0
7,28,27,1,1,1,1
7,46,7,1,1,1,1
12,1,13,1,1,1,1
14,39,6,1,1,1,1
134,213,195,1,1,1,1
75,79,30,1,1,1,1
71,45,27,1,1,1,1
8,80,34,1,1,1,1
4,87,24,1,1,1,1
0,3,1,0,1,0,1
13,1,3,1,1,1,1
22,27,17,1,1,1,1
7,364,43,1,1,1,1
42,21,2,1,1,1,1
587,932,277,1,1,1,1
0,2,0,0,0,0,0
17,1,2,1,1,1,1
0,2,8,0,1,0,1
1,3,2,1,1,1,1
3,96,10,1,1,1,1
0,17,26,0,1,0,1
4,30,0,1,0,0,1
3,0,15,0,0,1,1
0,23,2,0,1,0,1
2,25,0,1,0,0,1
0,0,38,0,0,0,0
8,76,6,1,1,1,1
2,28,0,1,0,0,1
0,1,0,0,0,0,0
0,4,0,0,0,0,0
0,1,0,0,0,0,0
0,5,0,0,0,0,0
0,1,0,0,0,0,0
8,73,10,1,1,1,1
30,11,112,1,1,1,1
4,30,8,1,1,1,1
3,10,1,1,1,1,1
64,42,18,1,1,1,1
35,24,30,1,1,1,1
1,2,0,1,0,0,1
5,17,0,1,0,0,1
0,31,0,0,0,0,0
159,167,0,1,0,0,1
1157,1418,783,1,1,1,1
11,27,0,1,0,0,1
0,8,0,0,0,0,0
24,102,44,1,1,1,1
9,1,16,1,1,1,1
1,0,25,0,0,1,1
23,6,18,1,1,1,1
3,0,0,0,0,0,0
0,18,1,0,1,0,1
0,0,2,0,0,0,0
1,9,0,1,0,0,1
0,12,0,0,0,0,0
0,3,1,0,1,0,1
5,22,4,1,1,1,1
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,16,0,0,0,0,0
0,1,0,0,0,0,0
0,3,2,0,1,0,1
1065,607,101,1,1,1,1
0,4,1,0,1,0,1
8,22,8,1,1,1,1
297,1622,71,1,1,1,1
532,672,283,1,1,1,1
0,1,0,0,0,0,0
1,2,5,1,1,1,1
0,12,0,0,0,0,0
0,6,10,0,1,0,1
0,3,0,0,0,0,0
2,1,0,1,0,0,1
26,209,39,1,1,1,1
10,7,6,1,1,1,1
86,130,18,1,1,1,1
6,10,0,1,0,0,1
0,11,2,0,1,0,1
1,1,0,1,0,0,1
0,1,0,0,0,0,0
2,5,54,1,1,1,1
0,39,0,0,0,0,0
9,1,18,1,1,1,1
1256,2214,1174,1,1,1,1
0,22,0,0,0,0,0
3,0,2,0,0,1,1
70,9,3,1,1,1,1
2,68,24,1,1,1,1
0,12,6,0,1,0,1
25,185,57,1,1,1,1
0,19,5,0,1,0,1
20,24,8,1,1,1,1
0,12,0,0,0,0,0
63,526,224,1,1,1,1
0,2,0,0,0,0,0
1,6,0,1,0,0,1
7,22,77,1,1,1,1
4,37,3,1,1,1,1
0,1,0,0,0,0,0
4,428,14,1,1,1,1
0,0,1,0,0,0,0
0,23,0,0,0,0,0
1,20,0,1,0,0,1
0,17,0,0,0,0,0
0,0,3,0,0,0,0
19,0,0,0,0,0,0
10,6,0,1,0,0,1
65,161,82,1,1,1,1
5,70,0,1,0,0,1
0,3,0,0,0,0,0
6,61,29,1,1,1,1
0,2,0,0,0,0,0
0,7,0,0,0,0,0
5,4,49,1,1,1,1
9,60,1,1,1,1,1
1,1,21,1,1,1,1
0,23,0,0,0,0,0
0,4,0,0,0,0,0
2,111,23,1,1,1,1
2,8,34,1,1,1,1
11,29,26,1,1,1,1
0,1,0,0,0,0,0
0,8,0,0,0,0,0
0,11,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,3,0,0,0,0,0
1,3,7,1,1,1,1
0,7,0,0,0,0,0
0,2,2,0,1,0,1
0,2,2,0,1,0,1
7,13,22,1,1,1,1
5,32,1,1,1,1,1
0,2,2,0,1,0,1
29,242,370,1,1,1,1
0,0,15,0,0,0,0
0,1,1,0,1,0,1
0,25,0,0,0,0,0
