"Organization","DynCount","FuncCount","DecCount"
alisidd,"8","35","13"
aliutkus,"0","10","1"
aliyun,"57","65","32"
aljosa,"11","6","2"
all-of-us,"44","170","136"
all-umass,"31","34","2"
all3fox,"0","142","1"
allansp84,"0","10","12"
allegro,"11","11","7"
allelos,"0","7","4"
allenai,"48","1126","744"
AllenDowney,"1","43","1"
AllenInstitute,"1","4","6"
allenta,"41","50","39"
allianceauth,"98","103","385"
Allianzcortex,"2","2","3"
allisson,"19","4","10"
allista,"0","5","9"
allrod5,"1","9","3"
allthingstalk,"1","6","1"
allure-framework,"29","57","45"
AllYarnsAreBeautiful,"0","7","1"
almlab,"0","46","4"
aloetesting,"13","4","5"
alonho,"5","11","9"
alorence,"5","11","28"
alpern95,"7","16","5"
alpernebbi,"0","7","1"
alphacsc,"8","107","12"
alphageek-xyz,"12","7","24"
alphagov,"84","510","214"
Alphare,"0","4","1"
AlphaSmartDog,"0","41","2"
ALQOCRYPTO,"0","19","2"
alrusdi,"6","7","3"
ALSchwalm,"0","38","1"
alshedivat,"3","45","7"
alsoicode,"18","3","6"
altair-viz,"11","24","20"
Altarika,"9","13","19"
altaurog,"12","32","1"
alternativshik,"0","1","5"
althonos,"4","24","61"
altio,"62","20","51"
altMITgcm,"1","12","1"
altosaar,"4","67","9"
altova,"0","17","4"
AltSchool,"51","19","11"
altugkarakurt,"0","8","14"
ALU-CloudBand,"0","2","4"
aluminiumgeek,"27","16","6"
Aluriak,"0","56","26"
aluttik,"0","3","8"
AlvarBer,"4","21","6"
alvarogzp,"2","25","152"
AlvinCJin,"0","9","16"
alvinlindstam,"0","4","11"
alvinwan,"12","49","17"
alviproject,"4","25","108"
alyptik,"1","5","15"
amaas,"0","15","2"
AmadeusITGroup,"0","14","6"
amadeusproject,"40","18","24"
amahabal,"13","108","80"
Amaimersion,"1","7","10"
amancevice,"5","69","42"
amanusk,"0","7","4"
amarack,"0","26","46"
amarquand,"11","4","12"
ambitioninc,"37","117","37"
amboar,"3","51","2"
Ambrosys,"14","96","27"
amcat,"110","593","216"
amcfague,"0","3","2"
amdean,"1","6","35"
AMDmi3,"15","242","21"
amdtkdev,"0","16","28"
ameerbadri,"3","11","9"
ament,"10","143","2"
AmesCornish,"0","23","18"
amey-sam,"1","9","6"
amfoss,"0","1","1"
amici-ursi,"3","26","12"
amicks,"3","20","2"
amikrop,"0","18","2"
