"Organization","DynCount","FuncCount","DecCount"
GCGImdea,"0","259","56"
gchrupala,"1","40","7"
geem-lab,"2","24","0"
Geiright,"0","30","3"
GekFreeman,"18","1","0"
GeneralBot-developer,"25","26","83"
geohot,"11","169","27"
georgealton,"0","4","4"
GeoscienceAustralia,"14","155","17"
Ghonem22,"0","1","0"
Ghotome,"622","1067","796"
giampaolo,"198","185","242"
GiftXXVI,"1","4","0"
gil9red,"17","290","57"
GiliardGodoi,"0","8","1"
GimelStudio,"2","11","40"
GiorgioBoccarella,"0","13","0"
giswqs,"10","146","0"
GitTeaching,"0","4","2"
giuper,"5","16","0"
Giyn,"9","30","2"
gjf2a,"0","77","2"
gk-d-arana,"0","2","9"
GlacioHack,"14","71","28"
glato,"34","54","217"
gmarciani,"35","174","14"
gmazzitelli,"3","7","0"
GMyjak,"0","9","0"
Gnidleif,"0","3","0"
goauthentik,"61","58","268"
gogo12235LYH,"0","28","5"
goldsmith,"22","14","18"
Gonza2324,"0","1","0"
google,"486","6639","1127"
google-research,"9","57","34"
googleapis,"26","19","20"
GoogleCloudPlatform,"9","460","54"
gorakhargosh,"25","72","76"
gradio-app,"1","167","35"
GradyKurpasi,"0","7","0"
grafikrobot,"1","3","0"
grantjenks,"8","78","129"
grap,"0","10","0"
graphql-python,"140","438","284"
great-expectations,"217","1011","1011"
greenFantasy,"1","12","1"
gregbreese,"0","29","23"
GrishilovVladislav,"0","5","0"
Grupo6-PI,"1535","2512","2240"
gselzer,"0","9","0"
gu-sentiment-2021,"2","13","0"
guardicore,"15","194","622"
GuardSkill,"0","2","0"
guelfoweb,"1","2","0"
gunthercox,"27","69","12"
Gustavo-F,"0","1","1"
Gustavo-Pettine,"8","66","0"
guywilsonjr,"0","7","9"
gwct,"0","219","0"
GXLW,"0","2","2"
gzh111,"0","8","0"
gzz2013,"622","1067","796"
H1dek1,"0","17","0"
h3x4d1v1n3,"668","965","735"
HA-SEUNG-JEONG,"0","22","0"
hack4impact,"0","2","31"
hadi-alnehlawi,"0","2","12"
hadtrindade,"1","3","18"
HadzhieV777,"0","5","0"
haesleinhuepf,"1","8","1"
Hains,"231","505","153"
haiwen,"354","373","332"
hakonmh,"4","12","4"
hamidgokce,"0","6","0"
hankyul2,"2","15","7"
HanNayeoniee,"0","4","0"
hanyuanh,"1","3","7"
haoheliu,"6","13","3"
haohlin,"0","27","0"
hapiel,"0","5","2"
hardikvasa,"0","7","0"
harelba,"5","208","0"
hareshkm999,"0","1","0"
hark130,"0","3","0"
harrystech,"13","214","105"
harveybarnhard,"0","2","0"
HAS-Tools-Fall2021,"0","18","0"
haskellcamargo,"6","42","17"
hayeong-DV,"1260","1319","1246"
HazyResearch,"64","162","164"
hbstarjason2021,"1","1","1"
HDFGroup,"1","10","38"
heartexlabs,"66","113","106"
heavens420,"915","1246","1606"
HeavensExperience,"1213","1213","930"
Hedsw,"0","23","0"
heheheliu,"621","1066","796"
heidenrei,"0","208","26"
heijp06,"3","62","29"
heiko1234,"1","2","0"
helizac,"0","9","0"
helloyjae,"0","37","0"
hemantapkh,"0","1","0"
henchaves,"0","2","0"
hentadev,"0","1","0"
hermawanln,"2","4","0"
Hero57Luna,"1983","3814","1927"
heuer,"4","116","1"
hgpeterson,"0","1","0"
hhatto,"59","73","32"
hhyo,"0","6","5"
hiepbkhn,"0","225","7"
Hieucaohd,"10","11","21"
hieuducnguyen,"0","98","0"
HIPS,"9","935","64"
hirp7,"0","12","0"
histocartography,"49","67","72"
histolab,"8","43","53"
hitontology,"0","5","0"
hivlab,"0","8","0"
hjjddb,"0","2","0"
HJLebbink,"44","316","3"
hknaydin,"92","169","22"
hmkim199,"329","475","359"
hmmlearn,"7","8","3"
HogeFinance,"1242","2186","1592"
hokuseihal,"2","17","9"
home-assistant,"852","3575","12873"
Hoon94,"0","169","0"
hooong,"7","107","0"
horovod,"82","638","122"
houtianze,"0","8","19"
hp-196,"200","445","357"
hrmtk,"0","1","3"
hse-cs-ami,"0","6","1"
HsuChihwei,"0","1","1"
htlemke,"13","118","14"
htmribeiro,"0","4","0"
httpie,"23","88","30"
hugapi,"128","46","56"
huggingface,"1146","2756","3391"
hugsy,"9","17","13"
hungrybirder,"3","17","4"
huoyan298,"4","6","2"
hwy2021,"0","5","0"
HXSecurity,"0","5","3"
hydrastro,"4","7","109"
hyein-song,"1","117","0"
hyeyeong-nam,"2","3","0"
hylang,"59","84","34"
HyosikMoon,"0","9","0"
hyperopt,"35","228","82"
HypothesisWorks,"278","1184","367"
hyunjinee,"0","27","0"
hz920120,"0","5","0"
i-cortez,"0","7","0"
i-RIC,"30","130","9"
i2mint,"8","33","67"
iamdat6120,"0","1","0"
iamLiquidX,"4","5","19"
iamrgm,"1","76","0"
IAmSalvaMartini,"0","1","0"
iamslash,"0","15","0"
ianloron00,"0","16","3"
ianmeza,"2","90","0"
IBArbitrary,"3","18","5"
ibcasxxf,"0","30","0"
icarusw-code,"0","1","0"
ifzhang,"31","110","11"
iggeorgiev1979,"0","315","31"
ignc-research,"0","1","0"
igorvlnascimento,"5","44","0"
igorzamyslov,"0","12","5"
iithcandle,"0","7","0"
Ikosse,"0","6","44"
Ilya-koala,"2","2","6"
IlyaMrz,"0","3","0"
ilyutoev,"0","3","0"
imandel,"0","2","0"
imflash217,"0","14","2"
IMIO,"12","2","5"
immijimmi,"0","23","11"
import-brain,"0","4","1"
ImTheekshana126,"22","26","273"
Incuvers,"9","55","107"
index30,"0","5","0"
IneshJupudy,"1194","1582","5963"
info-ruc,"0","30","7"
Inheritech,"0","64","0"
InhoStudios,"622","1073","733"
InnerReailty,"0","1","5"
insilications,"31","348","185"
instillai,"0","10","3"
integerbeans,"0","3","0"
intel,"0","12","0"
