"Project","DynCount","FuncCount","DecCount"
cupy,"276","676","84"
CursoemVideo,"621","1073","734"
customization_YoLo_TF_2,"0","52","1"
CustomTkinter,"0","0","12"
CUT_realtime_pytorch,"20","17","13"
CvPytorch,"70","386","70"
Cyber-Hawk-UserBot,"12","112","12"
cybertron,"0","14","2"
cython,"268","708","148"
CZ3002,"1484","2012","1306"
D3vilUserbot,"7","61","5"
DAFE,"10","304","80"
dagr_selenium,"0","48","15"
DAIN,"3","52","26"
DariLearnerFlaskAPI,"1280","1847","1566"
darkflow,"0","41","5"
darkside,"0","20","1"
Dark_Fussion,"12","110","7"
darts,"19","163","205"
dask,"437","2026","325"
data-committee.covid-data,"0","0","15"
data-infra,"4","32","5"
data-science-from-scratch,"4","596","1"
data-scripts,"621","1073","734"
data-storage,"23","71","36"
data-workspace,"26","353","111"
DataScienceRalatorio,"271","220","376"
dataset,"4","18","11"
DataStructuresAndAlgo,"0","61","1"
datools,"0","18","8"
davor_poetry_api,"0","0","2"
davos,"12","4","34"
db-accessor-template,"0","1","1"
dbacademy,"0","1","2"
DCACT,"4","11","1"
dd-idde-sdk,"2","152","6"
debuggingbook,"438","1191","530"
Decentralized-Internet,"22","194","205"
decision-forests,"6","68","46"
deemon,"0","71","51"
DeepDiffusionSolver,"0","4","2"
DeepFilterNet,"5","31","2"
DeepLearning,"28","119","26"
DeepLearningTutorials,"0","88","1"
deepo,"1","10","3"
DeepPavlov,"60","880","241"
deeprtc,"0","1","4"
DeepSpeed,"172","425","80"
deepvariant,"11","412","31"
deepxde,"13","137","44"
Deep_Reinforcement_Learning_and_Search_Class,"0","17","8"
deis,"12","25","6"
DeleteFB,"1","11","1"
Deltademo,"0","30","3"
DEMODAYG7,"621","1078","734"
densenet_bottleneck,"0","28","1"
deoplete.nvim,"17","47","11"
deploy_Malay_ASR,"7","33","8"
Deploy_to_VMSS,"1292","1915","1750"
depthai-experiments,"14","57","12"
Design-Patterns,"0","0","16"
design_patterns_python,"0","1","11"
desisurvey,"43","77","21"
determined,"85","732","159"
detr,"2","60","8"
dev.nllp,"1","126","3"
DevSeries-Backend-Flask,"906","1324","1067"
DFFN,"0","1","5"
dfgen,"0","0","3"
dfrus,"0","41","27"
dgl,"135","1370","633"
DiffuseAnimals,"478","851","730"
DIFFUSION0,"2","17","9"
diofant,"200","4706","1237"
Dioptas,"9","54","71"
dirsearch,"204","263","272"
discord-bots,"15","49","2"
discord.py,"136","242","592"
Disgames,"5","10","4"
disnake-LL-music-bot,"1","7","10"
dispatch,"59","122","170"
django,"1383","2218","1394"
django-allauth,"64","46","116"
django-blog,"0","0","1"
django-bootstrap5,"5","5","7"
django-cms,"285","223","135"
django-cors-headers,"20","3","11"
django-cqrs,"25","43","158"
django-debug-toolbar,"35","58","80"
django-extensions,"212","177","79"
django-gdpr-cookie-consent-demo-project,"1","2","2"
Django-Gradesheet,"0","28","4"
django-hashids,"5","1","2"
django-mptt,"200","36","33"
django-oauth-toolkit,"31","18","16"
django-portfolio,"1529","1697","1476"
django-portfolio-app,"211","148","256"
django-quiz-app,"0","1","3"
django-rest-framework-jwt,"3","0","2"
django-restframework-notes-n-codes,"0","0","3"
django-reversion,"7","20","10"
django-twitter,"929","5365","1791"
django-user-tasks,"5","1","27"
django-view-breadcrumbs,"8","3","25"
djangocms-content-expiry,"23","26","7"
DjangoCommerce,"381","297","388"
Django_mvc,"318","368","428"
Django_rest_framework,"487","542","576"
